0   0       5       19      15      20      25      30  45  60  75
0	99999   99999   99999   3140	1610	985	    640	275	150	100
5   99999   99999   99999	2940	1540	945	    625	271	150	100
10	99999   99999   4740	2470	1370	865	    590	264	148	100
15	11500	6780	3440	1860	1110	755	    525	251	146	100
20	6400	4480	2410	1410	910	    635	    454	237	141	99
25	3840	2830	1730	1100	749	    545	    410	223	136	97
30	2480	1870	1220	845	615	467	365	207	131	95
35	1650	1270	910	680	510	397	320	193	125	93
40	1180	940	700	530	416	338	282	179	120	92
45	910	730	555	442	356	292	250	166	116	90
60	505	442	352	292	243	209	183	134	104	86
75	338	317	269	227	196	172	151	116	93	82
90	259	251	225	193	166	147	132	104	86	79
105	212	210	197	170	150	133	119	96	82	77
120	188	186	177	154	138	125	113	90	77	74
135	179	178	166	147	134	122	110	90	77	73
150	179	178	165	148	137	127	116	96	79	72
165	196	192	179	165	151	141	131	104	82	72
180	230	212	195	178	163	148	134	105	83	72
